DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia Link,Drugs.com link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00292,Etomidate,33125-97-2,SmallMoleculeDrug,C07522,D00548,36339,46507012,4910,PA449551,"",,,,,"","",http://en.wikipedia.org/wiki/Etomidate,http://www.drugs.com/cdi/etomidate.html,0409-6695-01,33418,50125938,DAP000669
DB00293,Raltitrexed,112887-68-0,SmallMoleculeDrug,C11372,D01064,104758,46504880,"",PA13162524,D16,"","","",2229566,"","",http://en.wikipedia.org/wiki/Raltitrexed,"","",94568,18795,DAP000759
DB00294,Etonogestrel,54048-10-1,SmallMoleculeDrug,"","",40976,46505321,50777,PA10908,"","","","",2253186,"",http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/nuv1624.shtml,http://en.wikipedia.org/wiki/Etonogestrel,http://www.drugs.com/mtm/etonogestrel-implant.html,0052-0272-01,37403,,DAP000855
DB00295,Morphine,57-27-2,SmallMoleculeDrug,C01516,"",5288826,46505161,17303,PA450550,MOI,,,,2245286,http://www.rxlist.com/cgi/generic/ms.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/msc1277.shtml,http://en.wikipedia.org/wiki/Morphine,http://www.drugs.com/morphine.html,63629-3789-3,4450907,,DAP000071
DB00296,Ropivacaine,84057-95-4,SmallMoleculeDrug,C07532,"",,,"",PA451271,"","","","",2229418,http://www.rxlist.com/cgi/generic2/ropiva.htm,"",http://en.wikipedia.org/wiki/Ropivacaine,http://www.drugs.com/cdi/ropivacaine.html,63323-288-27,,,DAP001230
DB00297,Bupivacaine,2180-92-9,SmallMoleculeDrug,C07529,"",2474,46506768,3215,PA448683,"","","","",2165414,http://www.rxlist.com/cgi/generic2/bupivacaine.htm,"",http://en.wikipedia.org/wiki/Bupivacaine,http://www.drugs.com/cdi/bupivacaine-solution.html,0409-1761-02,2380,,DAP001229
DB00298,Dapiprazole,72822-12-9,SmallMoleculeDrug,"","",3033538,46508859,51066,PA449209,"","","","",,"","",http://en.wikipedia.org/wiki/Dapiprazole,http://www.drugs.com/cdi/dapiprazole.html,"",2298190,,DAP000298
DB00299,Penciclovir,39809-25-1,SmallMoleculeDrug,C07417,D05407,4725,46506498,7956,PA450839,PE2,"","","",,http://www.rxlist.com/cgi/generic3/penciclovir.htm,"",http://en.wikipedia.org/wiki/Penciclovir,http://www.drugs.com/cdi/penciclovir.html,0067-6024-15,4563,,DAP000488
DB00300,Tenofovir,147127-20-6,SmallMoleculeDrug,"",D01982,464205,46508131,"",PA10204,TFO,"","","",2247128,http://www.rxlist.com/cgi/generic/viread.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/vir1605.shtml,http://en.wikipedia.org/wiki/Tenofovir,http://www.drugs.com/cdi/tenofovir.html,53808-0810-1,408154,,DAP001430
DB00301,Flucloxacillin,5250-39-5,SmallMoleculeDrug,C11748,D04196,21319,46508276,5098,PA10266,"","","","",525561,"","",http://en.wikipedia.org/wiki/Flucloxacillin,"","",20037,,DAP001163
DB00302,Tranexamic Acid,1197-18-8,SmallMoleculeDrug,"",D01136,5526,46508089,48669,PA451738,AMH,"","","",2064413,http://www.rxlist.com/cgi/generic3/cyclapron.htm,"",http://en.wikipedia.org/wiki/Tranexamic_acid,http://www.drugs.com/cdi/tranexamic-acid.html,0013-1114-10,5325,,DAP000199
DB00303,Ertapenem,153832-46-3,SmallMoleculeDrug,"",D04049,150610,46506508,15449,PA10073,"","","","",2247437,http://www.rxlist.com/cgi/generic3/invanz.htm,"",http://en.wikipedia.org/wiki/Ertapenem,http://www.drugs.com/cdi/ertapenem.html,0006-3845-71,132758,,DAP000431
DB00304,Desogestrel,54024-22-5,SmallMoleculeDrug,C07629,D02367,40973,46505739,4453,PA449238,"",,,,2042533,http://www.rxlist.com/cgi/generic/desest.htm,"",http://en.wikipedia.org/wiki/Desogestrel,"","",37400,,DAP001209
DB00305,Mitomycin,50-07-7,SmallMoleculeDrug,C06681,D00208,5746,46508353,27504,PA450524,"",,,,2230729,http://www.rxlist.com/cgi/generic3/mitomycin.htm,"",http://en.wikipedia.org/wiki/Mitomycin,http://www.drugs.com/cdi/mitomycin.html,55390-451-01,5544,,DAP001402
DB00306,Talbutal,115-44-6,SmallMoleculeDrug,"","",606974,46507821,"",PA451579,"","","","",,"","",http://en.wikipedia.org/wiki/Talbutal,"","",527603,,DAP000670
DB00307,Bexarotene,153559-49-0,SmallMoleculeDrug,"","",82146,46509119,50859,PA448615,"","","","",,http://www.rxlist.com/cgi/generic3/bexarotene.htm,"",http://en.wikipedia.org/wiki/Bexarotene,http://www.drugs.com/cdi/bexarotene.html,64365-502-01,74139,,DAP000276
DB00308,Ibutilide,122647-32-9,SmallMoleculeDrug,C07753,D00648,60753,46507904,"",PA449959,"","","","",2242470,http://www.rxlist.com/cgi/generic/ibutilide.htm,"",http://en.wikipedia.org/wiki/Ibutilide,http://www.drugs.com/cdi/ibutilide.html,0574-0840-01,54755,50131432,DAP000279
DB00309,Vindesine,59917-39-4,SmallMoleculeDrug,"",D01769,40839,46504548,36373,PA10232,"",,,,555665,http://www.rxlist.com/cgi/generic2/vinor_cp.htm,"",http://en.wikipedia.org/wiki/Vindesine,"","",37302,,DAP000949
DB00310,Chlorthalidone,77-36-1,SmallMoleculeDrug,"",D00272,2732,46505541,3654,"","",,,,360279,http://www.rxlist.com/cgi/generic3/chlorthalidone.htm,"",http://en.wikipedia.org/wiki/Chlorthalidone,http://www.drugs.com/cdi/chlorthalidone.html,0179-0015-01,2631,25900,DAP000521
DB00311,Ethoxzolamide,452-35-7,SmallMoleculeDrug,"",D02441,3295,46509023,101096,"",EZL,,,,,"","",http://en.wikipedia.org/wiki/Ethoxzolamide,"","",3179,10882,DAP000598
DB00312,Pentobarbital,76-74-4,SmallMoleculeDrug,C07422,D00499,4737,46508399,7983,PA450859,"",,,,141690,http://www.rxlist.com/cgi/generic2/pentob.htm,"",http://en.wikipedia.org/wiki/Pentobarbital,http://www.drugs.com/mtm/pentobarbital.html,67386-501-55,4575,,DAP000671
DB00313,Valproic Acid,99-66-1,SmallMoleculeDrug,"",D00399,3121,46505925,9926,PA451846,"","",,"",2260654,http://www.rxlist.com/cgi/generic2/depakene.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/dep1124.shtml,http://en.wikipedia.org/wiki/Valproic_Acid,http://www.drugs.com/cdi/valproate.html,0121-0675-16,3009,,DNC001659
DB00314,Capreomycin,11003-38-6,SmallMoleculeDrug,C01790,D00135,3000502,46508514,"",PA448773,"","","","",2025396,"","",http://en.wikipedia.org/wiki/Capreomycin,http://www.drugs.com/cdi/capreomycin.html,0002-1485-01,2272094,,DAP000892
DB00315,Zolmitriptan,139264-17-8,SmallMoleculeDrug,C07218,D00415,441240,46506452,10124,PA451975,"","","","",2243045,http://www.rxlist.com/cgi/generic2/zolmit.htm,"",http://en.wikipedia.org/wiki/Zolmitriptan,http://www.drugs.com/cdi/zolmitriptan.html,0310-0208-60,390013,,DAP000077
DB00316,Acetaminophen,103-90-2,SmallMoleculeDrug,C06804,D00217,1983,46506142,2386,PA448015,"",,,,2269120,http://www.rxlist.com/cgi/generic/apap.htm,"",http://en.wikipedia.org/wiki/Acetaminophen,http://www.drugs.com/acetaminophen.html,50580-508-20,1906,26197,DAP001436
DB00317,Gefitinib,184475-35-2,SmallMoleculeDrug,"",D01977,123631,46508649,49668,PA13130195,IRE,"","","",2248676,http://www.rxlist.com/cgi/generic3/iressa.htm,"",http://en.wikipedia.org/wiki/Gefitinib,http://www.drugs.com/cdi/gefitinib.html,0310-0482-30,110217,5447,DAP000657
DB00318,Codeine,76-57-3,SmallMoleculeDrug,C06174,"",5284371,46507764,16714,PA449088,"","","","",593451,http://www.rxlist.com/cgi/generic/codphos.htm,"",http://en.wikipedia.org/wiki/Codeine,http://www.drugs.com/cdi/codeine-phosphate-soluble-tablets.html,"",4447447,,DAP000213
DB00319,Piperacillin,66258-76-2,SmallMoleculeDrug,C07361,D00466,23666879,46504757,8232,PA450975,"","","","",2248939,http://www.rxlist.com/cgi/generic3/piperacillin.htm,"",http://en.wikipedia.org/wiki/Piperacillin,http://www.drugs.com/cdi/piperacillin.html,0206-3879-16,39798,,DAP001164
DB00320,Dihydroergotamine,6190-39-2,SmallMoleculeDrug,C07798,"",10531,46507711,4562,PA449327,"",,,,2241163,http://www.rxlist.com/cgi/generic2/dihyergmes.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/mig1267.shtml,http://en.wikipedia.org/wiki/Dihydroergotamine,http://www.drugs.com/cdi/dihydroergotamine.html,0574-0850-05,10091,,DAP000078
DB00321,Amitriptyline,50-48-6,SmallMoleculeDrug,C06824,"",2160,46508798,2666,PA448385,"",,,,654515,http://www.rxlist.com/cgi/generic/amitrip.htm,"",http://en.wikipedia.org/wiki/Amitriptyline,http://www.drugs.com/amitriptyline.html,53489-104-07,2075,,DNC001466
DB00322,Floxuridine,50-91-9,SmallMoleculeDrug,C11736,D04197,5790,46508645,60761,PA449652,"",,,,,http://www.rxlist.com/cgi/generic2/floxuridine.htm,"",http://en.wikipedia.org/wiki/Floxuridine,http://www.drugs.com/cdi/floxuridine.html,61703-331-09,5586,50042595,DAP001245
DB00323,Tolcapone,134308-13-7,SmallMoleculeDrug,C07949,D00786,4659569,46504932,"",PA451720,"","","","",2235914,http://www.rxlist.com/cgi/generic3/tolcapone.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/tas1426.shtml,http://en.wikipedia.org/wiki/Tolcapone,http://www.drugs.com/cdi/tolcapone.html,0187-0938-01,3848682,50108877,DAP000607
DB00324,Fluorometholone,426-13-1,SmallMoleculeDrug,"",D01367,9878,46505984,"",PA449670,"","","","",2238568,http://www.rxlist.com/cgi/generic/fluorometholone.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/fml1183.shtml,http://en.wikipedia.org/wiki/Fluorometholone,http://www.drugs.com/cdi/fluorometholone.html,11980-228-05,9494,,DAP001047
DB00325,Nitroprusside,15078-28-1,SmallMoleculeDrug,C07269,"",11963622,46508965,7596,"","","","","",336459,http://www.rxlist.com/cgi/generic3/nitroprusside.htm,"",http://en.wikipedia.org/wiki/Nitroprusside,http://www.drugs.com/mtm/nitroprusside.html,0409-3024-01,10137785,,DNC001351
DB00326,Calcium Gluceptate,29039-00-7,SmallMoleculeDrug,"",D00934,62859,46507233,"",PA448734,"",,,,,"","","","","",56591,,
DB00327,Hydromorphone,466-99-9,SmallMoleculeDrug,C07042,"",5284570,46508700,5790,PA449918,"",,,,2249936,http://www.rxlist.com/cgi/generic/hydromorphone.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/dil1137.shtml,http://en.wikipedia.org/wiki/Hydromorphone,http://www.drugs.com/cdi/hydromorphone.html,0527-1353-01,4447624,,DAP000472
DB00328,Indomethacin,53-86-1,SmallMoleculeDrug,C01926,D00141,3715,46508291,5918,PA449982,"","","","",2143372,http://www.rxlist.com/cgi/generic/indometh.htm,"",http://en.wikipedia.org/wiki/Indomethacin,http://www.drugs.com/cdi/indomethacin.html,42211-101-11,3584,17638,DAP000617
DB00330,Ethambutol,74-55-5,SmallMoleculeDrug,C06984,"",3279,46504788,4877,PA449519,"",,,,247960,http://www.rxlist.com/cgi/generic2/ethambutol.htm,"",http://en.wikipedia.org/wiki/Ethambutol,http://www.drugs.com/cdi/ethambutol.html,0555-0923-02,3164,50204422,DAP000055
DB00331,Metformin,657-24-9,SmallMoleculeDrug,C07151,D04966,4091,46507752,6801,PA450395,"",,,,2265583,http://www.rxlist.com/cgi/generic4/glumetza.htm,"",http://en.wikipedia.org/wiki/Metformin,http://www.drugs.com/metformin.html,0781-5050-61,3949,,DAP000205
DB00332,Ipratropium bromide,60205-81-4,SmallMoleculeDrug,C07052,"",43232,46506138,46659,PA450082,"","",,"",2240072,http://www.rxlist.com/cgi/generic/ipratrop.htm,"",http://en.wikipedia.org/wiki/Ipratropium,http://www.drugs.com/mtm/ipratropium-nasal.html,0487-9801-25,39400,,DNC000806
DB00333,Methadone,76-99-3,SmallMoleculeDrug,C07163,"",4095,46505722,6807,PA450401,"","","","",2247698,http://www.rxlist.com/cgi/generic/methdone.htm,"",http://en.wikipedia.org/wiki/Methadone,http://www.drugs.com/methadone.html,64019-553-67,3953,,DAP000267
DB00334,Olanzapine,132539-06-1,SmallMoleculeDrug,C07322,D00454,4585,46507666,7735,PA450688,"","","","",2247099,http://www.rxlist.com/cgi/generic3/symbyax.htm,"",http://en.wikipedia.org/wiki/Olanzapine,http://www.drugs.com/cdi/olanzapine.html,0002-4112-30,4424,35254,DAP000022
DB00335,Atenolol,29122-68-7,SmallMoleculeDrug,"",D00235,2249,46506915,2904,"","","","","",828793,http://www.rxlist.com/cgi/generic/atenolol.htm,"",http://en.wikipedia.org/wiki/Atenolol,http://www.drugs.com/atenolol.html,65862-168-01,2162,25753,DAP000482
DB00336,Nitrofurazone,59-87-0,SmallMoleculeDrug,C08042,D00862,5447130,46506509,"",PA450642,NFZ,"",,"",575011,"","",http://en.wikipedia.org/wiki/Nitrofurazone,http://www.drugs.com/cons/nitrofurazone-topical.html,"",4566720,,
DB00337,Pimecrolimus,137071-32-0,SmallMoleculeDrug,"","",17753757,46505748,"",PA10157,"","","","",2247238,http://www.rxlist.com/cgi/generic/elidel.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/eli1609.shtml,http://en.wikipedia.org/wiki/Pimecrolimus,http://www.drugs.com/cdi/pimecrolimus.html,0078-0375-46,,,DAP000594
DB00338,Omeprazole,73590-58-6,SmallMoleculeDrug,C07324,D00455,4594,46509065,7772,"","",,,,2260867,http://www.rxlist.com/cgi/generic/omepra.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/pri1350.shtml,http://en.wikipedia.org/wiki/Omeprazole,http://www.drugs.com/omeprazole.html,63739-358-10,4433,50241343,DAP000180
DB00339,Pyrazinamide,98-96-4,SmallMoleculeDrug,C01956,D00144,1046,46507478,8656,PA451182,"",,,,618810,http://www.rxlist.com/pyrazinamide-drug.htm,"",http://en.wikipedia.org/wiki/Pyrazinamide,http://www.drugs.com/cdi/pyrazinamide.html,55806-012-02,1017,,DAP000660
DB00340,Metixene,4969-02-2,SmallMoleculeDrug,"",D01871,4167,46508970,51024,"","","","","",,"","",http://en.wikipedia.org/wiki/Metixene,"","",4023,,DAP000346
DB00341,Cetirizine,83881-51-0,SmallMoleculeDrug,C07778,"",2678,46508368,3561,"","",,,,2240910,http://www.rxlist.com/cgi/generic/cetiriz.htm,"",http://en.wikipedia.org/wiki/Cetirizine,http://www.drugs.com/cetirizine-hcl.html,16714-271-02,2577,22890,DAP000323
DB00342,Terfenadine,50679-08-8,SmallMoleculeDrug,C07463,D00521,5405,46507007,"","","","","","",1913395,http://www.rxlist.com/cgi/generic/terfen.htm,"",http://en.wikipedia.org/wiki/Terfenadine,http://www.drugs.com/mtm/terfenadine.html,"",5212,50017376,DAP000102
DB00343,Diltiazem,42399-41-7,SmallMoleculeDrug,C06958,"",39186,46505667,101278,PA449334,"","","","",2244728,http://www.rxlist.com/cgi/generic/diltiaz.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/car1068.shtml,http://en.wikipedia.org/wiki/Diltiazem,http://www.drugs.com/diltiazem.html,54868-4970-0,35850,50004704,DAP001262
DB00344,Protriptyline,438-60-8,SmallMoleculeDrug,C07408,"",4976,46505128,8597,PA451168,"","","","",322741,"",http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/viv1617.shtml,http://en.wikipedia.org/wiki/Protriptyline,http://www.drugs.com/cdi/protriptyline.html,0555-0595-02,4805,,DAP000863
DB00345,Aminohippurate,94-16-6,SmallMoleculeDrug,"",D01421,2148,46507106,"","","","","","",140287,http://www.rxlist.com/cgi/generic2/aminohippurate.htm,"",http://en.wikipedia.org/wiki/Para-Aminohippurate,"",0006-3395-11,2063,,
DB00346,Alfuzosin,81403-80-7,SmallMoleculeDrug,"",D01692,2092,46508512,51141,PA10357,"","","","",2245565,http://www.rxlist.com/cgi/generic/uroxatral.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/uro1685.shtml,http://en.wikipedia.org/wiki/Alfuzosin,http://www.drugs.com/cdi/alfuzosin.html,0024-4200-30,2008,,DCL000664
DB00347,Trimethadione,127-48-0,SmallMoleculeDrug,"",D00392,5576,46504478,"",PA451783,"",,,,,"","",http://en.wikipedia.org/wiki/Trimethadione,http://www.drugs.com/mtm/trimethadione.html,"",5374,50019167,DAP001265
DB00348,Nitisinone,104206-65-7,SmallMoleculeDrug,"","",115355,46507380,50378,PA10147,"","","","",,http://www.rxlist.com/cgi/generic/orfadin.htm,"",http://en.wikipedia.org/wiki/Nitisinone,http://www.drugs.com/cdi/nitisinone.html,66621-1002-6,103195,,DAP000774
DB00349,Clobazam,22316-47-8,SmallMoleculeDrug,"",D01253,2789,46506115,31413,PA10888,"","","","",2247230,"","",http://en.wikipedia.org/wiki/Clobazam,"","",2687,,DAP000672
DB00350,Minoxidil,38304-91-5,SmallMoleculeDrug,"",D00418,4201,46508344,6942,PA450521,MXD,,,,2065800,http://www.rxlist.com/cgi/generic3/minoxidil.htm,"",http://en.wikipedia.org/wiki/Minoxidil,http://www.drugs.com/cdi/minoxidil.html,53489-386-01,,,DAP000143
DB00351,Megestrol,3562-63-8,SmallMoleculeDrug,C07120,"",19090,46505827,6722,PA450350,"",,,,2223112,http://www.rxlist.com/cgi/generic4/megace_es.htm,"",http://en.wikipedia.org/wiki/Megestrol,http://www.drugs.com/cdi/megestrol.html,0054-3542-58,18023,,DAP000861
DB00352,Thioguanine,154-42-7,SmallMoleculeDrug,C07648,"",2723601,46508170,"",PA451663,"","",,"",282081,http://www.rxlist.com/cgi/generic2/thioguanine.htm,"",http://en.wikipedia.org/wiki/Thioguanine,http://www.drugs.com/cdi/thioguanine.html,0173-0880-25,2005804,50200099,DAP000194
DB00353,Methylergonovine,113-42-8,SmallMoleculeDrug,"",D00680,8226,46507746,"",PA450460,"",,,,,http://www.rxlist.com/cgi/generic2/methylerg.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/met1256.shtml,http://en.wikipedia.org/wiki/Methylergonovine,http://www.drugs.com/cdi/methylergonovine.html,12634-179-96,7933,,DAP000978
DB00354,Buclizine,82-95-1,SmallMoleculeDrug,C07777,"",6729,46507608,3205,PA448679,"","","","",,"","",http://en.wikipedia.org/wiki/Buclizine,,,6473,,DAP001076
DB00355,Aztreonam,78110-38-0,SmallMoleculeDrug,C06840,D00240,5362041,46505419,161680,PA448523,AZR,"",,"",,http://www.rxlist.com/cgi/generic4/azactaminj.htm,"",http://en.wikipedia.org/wiki/Aztreonam,http://www.drugs.com/cdi/aztreonam.html,51479-041-15,4514917,,DAP000117
DB00356,Chlorzoxazone,95-25-0,SmallMoleculeDrug,C07931,D00771,2733,46507755,3655,PA448971,CLW,,,,,http://www.rxlist.com/cgi/generic2/chlorzox.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/par1317.shtml,http://en.wikipedia.org/wiki/Chlorzoxazone,http://www.drugs.com/cdi/chlorzoxazone.html,0045-0325-60,2632,,DAP000952
DB00357,Aminoglutethimide,125-84-8,SmallMoleculeDrug,C07617,D00574,2145,46506066,2654,PA448375,"",,,,587729,http://www.rxlist.com/cgi/generic3/cytadren.htm,"",http://en.wikipedia.org/wiki/Aminoglutethimide,http://www.drugs.com/cdi/aminoglutethimide.html,0083-0024-30,2060,9460,DAP000842
DB00358,Mefloquine,53230-10-7,SmallMoleculeDrug,C07633,D04895,4046,46505610,"",PA450348,"",,,,2244366,http://www.rxlist.com/cgi/generic2/mefloq.htm,"",http://en.wikipedia.org/wiki/Mefloquine,http://www.drugs.com/cdi/mefloquine.html,54868-5434-0,3906,50022889,DAP001310
DB00359,Sulfadiazine,68-35-9,SmallMoleculeDrug,C07658,D00587,5215,46506164,9328,PA451539,"","","","",,"","",http://en.wikipedia.org/wiki/Sulfadiazine,http://www.drugs.com/cdi/sulfadiazine.html,0185-0757-10,5026,,DAP001238
DB00360,Tetrahydrobiopterin,17528-72-2,SmallMoleculeDrug,C00272,"",1125,46508597,15372,"",THB,"","","",,"","",http://en.wikipedia.org/wiki/Tetrahydrobiopterin,"",68135-300-01,1093,,DNC000425
DB00361,Vinorelbine,71486-22-1,SmallMoleculeDrug,"",D08680,60780,46507772,480999,"","","","","",2257777,http://www.rxlist.com/cgi/generic2/vinor.htm,"",http://en.wikipedia.org/wiki/Vinorelbine,http://www.drugs.com/cdi/vinorelbine.html,25021-204-01,54777,,DAP000765
DB00362,Anidulafungin,166663-25-8,SmallMoleculeDrug,"",D03211,166548,46505616,55346,"","","","","",,"","",http://en.wikipedia.org/wiki/Anidulafungin,http://www.drugs.com/cdi/anidulafungin.html,0049-0114-28,145752,,DAP000546
DB00363,Clozapine,5786-21-0,SmallMoleculeDrug,C06924,D00283,2818,46506474,3766,PA449061,"",,,,2240669,http://www.rxlist.com/cgi/generic3/clozapine.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/clo1089.shtml,http://en.wikipedia.org/wiki/Clozapine,http://www.drugs.com/clozapine.html,57664-345-88,2716,22869,DAP000029
DB00364,Sucralfate,54182-58-0,SmallMoleculeDrug,C07314,"",,,"",PA451524,"","","","",2239912,http://www.rxlist.com/cgi/generic/sucral.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/car1065.shtml,http://en.wikipedia.org/wiki/Sucralfate,http://www.drugs.com/cdi/sucralfate.html,29033-003-01,,,
DB00365,Grepafloxacin,119914-60-2,SmallMoleculeDrug,C11368,"",72474,46507253,"",PA449812,"","","","",2237735,http://www.rxlist.com/cgi/generic2/grepa.htm,"",http://en.wikipedia.org/wiki/Grepafloxacin,http://www.drugs.com/mtm/grepafloxacin.html,"",65391,50117924,DAP001005
DB00366,Doxylamine,469-21-6,SmallMoleculeDrug,"",D02327,3162,46506354,51380,PA449419,"",,,,1946994,"","",http://en.wikipedia.org/wiki/Doxylamine,http://www.drugs.com/cdi/doxylamine.html,"",3050,,DAP000859
DB00367,Levonorgestrel,17489-40-6,SmallMoleculeDrug,C08149,D00950,13109,46508082,6443,PA450218,"","","","",707600,http://www.rxlist.com/cgi/generic2/norplant.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/pla1696.shtml,http://en.wikipedia.org/wiki/Levonorgestrel,http://www.drugs.com/cdi/levonorgestrel.html,51285-769-93,12560,,DAP001207
DB00368,Norepinephrine,51-41-2,SmallMoleculeDrug,C00547,D00076,439260,46506201,18357,"",LNR,,,,,http://www.rxlist.com/cgi/generic/norepinephrine.htm,"",http://en.wikipedia.org/wiki/Norepinephrine,http://www.drugs.com/mtm/norepinephrine.html,0409-3375-04,388394,,DNC001034
DB00369,Cidofovir,113852-37-2,SmallMoleculeDrug,C06909,"",60613,46506054,3696,"","","","","",,http://www.rxlist.com/cgi/generic2/cidofovir.htm,"",http://en.wikipedia.org/wiki/Cidofovir,http://www.drugs.com/cdi/cidofovir.html,61958-0101-1,54636,31915,DAP001083
DB00370,Mirtazapine,61337-67-5,SmallMoleculeDrug,C07570,D00563,4205,46506965,6950,PA450522,"","","","",2256126,http://www.rxlist.com/cgi/generic/mirtaz.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/rem1371.shtml,http://en.wikipedia.org/wiki/Mirtazapine,http://www.drugs.com/cdi/mirtazapine.html,0185-0020-30,4060,,DAP000010
DB00371,Meprobamate,57-53-4,SmallMoleculeDrug,"",D00376,4064,46508142,"",PA450377,"","","","",2238646,http://www.rxlist.com/cgi/generic2/meprobamate.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/mil1268.shtml,http://en.wikipedia.org/wiki/Meprobamate,http://www.drugs.com/cdi/meprobamate.html,23155-128-03,3924,,DAP001507
DB00372,Thiethylperazine,1420-55-9,SmallMoleculeDrug,C07132,D02354,5440,46506502,9544,PA451657,"","","","",,http://www.rxlist.com/cgi/generic2/thiethyl.htm,"",http://en.wikipedia.org/wiki/Thiethylperazine,http://www.drugs.com/mtm/thiethylperazine.html,"",5245,,DAP000315
DB00373,Timolol,26839-75-8,SmallMoleculeDrug,C07141,"",33624,46507733,39465,PA451690,TIM,,,,812455,http://www.rxlist.com/cgi/generic3/timololgfs.htm,"",http://en.wikipedia.org/wiki/Timolol,http://www.drugs.com/cdi/timolol-drops.html,68669-522-05,31013,,DAP000088
DB00374,Treprostinil,81846-19-7,SmallMoleculeDrug,"","",54786,46504572,50861,PA10217,"","","","",2246552,http://www.rxlist.com/cgi/generic/remodulin.htm,"",http://en.wikipedia.org/wiki/Treprostinil,http://www.drugs.com/cdi/treprostinil-inhalation-solution.html,66302-206-01,49475,,DAP001214
DB00375,Colestipol,50925-79-6,SmallMoleculeDrug,C06925,"",62816,46505777,"",PA449096,"",,,,642975,http://www.rxlist.com/cgi/generic/colestipol.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/col1094.shtml,http://en.wikipedia.org/wiki/Colestipol,http://www.drugs.com/cdi/colestipol.html,59762-0260-1,56550,,
DB00376,Trihexyphenidyl,144-11-6,SmallMoleculeDrug,C07171,"",5572,46507717,"",PA451778,"","","","",726265,http://www.rxlist.com/cgi/generic3/trihexyphen.htm,"",http://en.wikipedia.org/wiki/Trihexyphenidyl,http://www.drugs.com/cdi/trihexyphenidyl.html,61748-054-36,5371,,DAP001532
DB00377,Palonosetron,119904-90-4,SmallMoleculeDrug,"","",148211,46508530,"",PA10352,"","","","",,http://www.rxlist.com/cgi/generic/aloxi.htm,"",http://en.wikipedia.org/wiki/Palonosetron,http://www.drugs.com/cdi/palonosetron.html,58063-797-25,130656,,DAP000367
DB00378,Dydrogesterone,152-62-5,SmallMoleculeDrug,"",D01217,9051,46506195,31527,"","","","","",,"","",http://en.wikipedia.org/wiki/Dydrogesterone,"","",8699,,DAP001205
DB00379,Mexiletine,31828-71-4,SmallMoleculeDrug,C07220,"",4178,46505491,6916,PA450488,"",,,,2230359,http://www.rxlist.com/cgi/generic3/mexiletine.htm,http://www.pdrhealth.com/drug_info/rxdrugprofiles/drugs/mex1261.shtml,http://en.wikipedia.org/wiki/Mexiletine,http://www.drugs.com/cdi/mexiletine.html,0597-0068-01,4034,50117271,DAP000505
DB00380,Dexrazoxane,24584-09-6,SmallMoleculeDrug,"","",71384,46505982,50223,PA449259,CDX,,,,2153440,http://www.rxlist.com/cgi/generic2/dexrazoxane.htm,"",http://en.wikipedia.org/wiki/Dexrazoxane,http://www.drugs.com/cdi/dexrazoxane.html,38423-110-01,64479,,DAP000649
DB00381,Amlodipine,88150-42-9,SmallMoleculeDrug,C06825,"",2162,46507214,2668,PA448388,"",,,,878936,http://www.rxlist.com/cgi/generic/amlod2.htm,http://www.pdrhealth.com/drugs/rx/rx-mono.aspx?contentFileName=nor1306.html&contentName=Norvasc&contentId=538,http://en.wikipedia.org/wiki/Amlodipine,http://www.drugs.com/amlodipine.html,53808-0200-1,2077,,DAP000139
DB00382,Tacrine,321-64-2,SmallMoleculeDrug,C01453,"",1935,46505487,9389,PA451576,760,"","","",,http://www.rxlist.com/cgi/generic2/tacrine.htm,"",http://en.wikipedia.org/wiki/Tacrine,http://www.drugs.com/cdi/tacrine.html,59630-190-12,1859,8961,DAP000558
